,Participant,Trials,Baseline,RNN,SPICE
0,0.0,80.0,92.51,54.06,0.0
1,1.0,104.0,124.53,83.86,0.0
2,2.0,104.0,124.14,60.96,0.0
3,3.0,104.0,111.28,33.99,0.0
4,4.0,104.0,119.0,20.52,0.0
5,5.0,104.0,126.52,113.73,0.0
6,6.0,104.0,120.4,62.07,0.0
7,7.0,103.0,121.83,105.46,0.0
8,8.0,104.0,118.15,13.21,0.0
9,9.0,104.0,120.08,19.58,0.0
10,10.0,104.0,133.56,110.39,0.0
11,11.0,104.0,122.72,75.26,0.0
12,12.0,104.0,121.35,64.62,0.0
13,13.0,104.0,126.89,29.67,0.0
14,14.0,104.0,127.42,119.16,0.0
15,15.0,104.0,122.36,93.16,0.0
16,16.0,104.0,131.04,72.31,0.0
17,17.0,104.0,130.88,133.99,0.0
18,18.0,104.0,116.08,15.68,0.0
19,19.0,104.0,116.81,57.64,0.0
20,20.0,104.0,109.75,35.0,0.0
21,21.0,104.0,123.98,66.32,0.0
22,22.0,104.0,127.02,59.57,0.0
23,23.0,104.0,124.49,29.44,0.0
24,24.0,104.0,121.82,61.66,0.0
25,25.0,104.0,122.06,52.4,0.0
26,26.0,104.0,131.16,102.43,0.0
27,27.0,124.0,136.98,50.65,0.0
28,28.0,104.0,123.48,43.24,0.0
29,29.0,104.0,121.78,44.11,0.0
30,30.0,104.0,112.45,37.1,0.0
31,31.0,104.0,143.64,124.79,0.0
32,32.0,104.0,135.06,86.95,0.0
33,33.0,104.0,118.43,39.43,0.0
34,34.0,104.0,131.83,88.01,0.0
35,35.0,104.0,120.52,69.13,0.0
36,36.0,104.0,125.43,40.47,0.0
37,37.0,104.0,118.01,42.98,0.0
38,38.0,104.0,114.3,44.98,0.0
39,39.0,104.0,129.49,101.09,0.0
40,40.0,104.0,118.58,34.82,0.0
41,41.0,104.0,116.07,40.66,0.0
42,42.0,104.0,122.03,35.69,0.0
43,43.0,104.0,121.02,78.68,0.0
44,44.0,104.0,117.41,42.33,0.0
45,45.0,103.0,122.34,30.04,0.0
46,46.0,104.0,128.89,87.48,0.0
47,47.0,103.0,122.33,69.52,0.0
48,48.0,104.0,123.01,69.78,0.0
49,49.0,100.0,131.11,132.27,0.0
50,50.0,104.0,121.86,67.28,0.0
51,51.0,104.0,118.61,44.73,0.0
52,52.0,104.0,123.42,47.9,0.0
53,53.0,104.0,114.61,35.01,0.0
54,54.0,103.0,125.48,72.74,0.0
55,55.0,104.0,114.49,39.73,0.0
56,56.0,104.0,118.24,50.61,0.0
57,57.0,104.0,123.23,78.38,0.0
58,58.0,99.0,130.57,118.43,0.0
59,59.0,104.0,126.78,85.36,0.0
60,60.0,104.0,132.03,103.37,0.0
61,61.0,104.0,122.83,55.76,0.0
62,62.0,104.0,115.02,57.12,0.0
63,63.0,104.0,122.06,94.64,0.0
64,64.0,124.0,145.21,61.93,0.0
65,65.0,104.0,118.47,48.58,0.0
66,66.0,103.0,121.78,56.19,0.0
67,67.0,104.0,117.93,62.45,0.0
68,68.0,104.0,133.03,96.85,0.0
69,69.0,104.0,121.73,51.23,0.0
70,70.0,104.0,117.83,61.12,0.0
71,71.0,104.0,126.29,71.95,0.0
72,72.0,104.0,119.54,72.34,0.0
73,73.0,104.0,127.2,119.24,0.0
74,74.0,96.0,115.3,99.08,0.0
75,75.0,103.0,122.32,81.17,0.0
76,76.0,104.0,118.44,40.64,0.0
77,77.0,104.0,124.79,95.72,0.0
78,78.0,104.0,118.92,13.62,0.0
79,79.0,104.0,121.6,52.56,0.0
80,80.0,104.0,120.86,84.95,0.0
81,81.0,104.0,129.17,85.28,0.0
82,82.0,104.0,131.03,100.17,0.0
83,83.0,104.0,117.58,73.76,0.0
84,84.0,104.0,124.33,60.43,0.0
85,85.0,104.0,118.94,38.99,0.0
86,86.0,104.0,125.91,119.79,0.0
87,87.0,104.0,128.93,71.27,0.0
88,88.0,104.0,134.66,121.35,0.0
89,89.0,104.0,115.35,48.94,0.0
90,90.0,103.0,138.12,140.68,0.0
91,91.0,104.0,135.6,132.91,0.0
92,92.0,104.0,126.62,77.63,0.0
93,93.0,104.0,121.7,51.53,0.0
94,94.0,104.0,135.77,124.95,0.0
95,95.0,104.0,130.72,58.6,0.0
96,96.0,104.0,114.42,29.72,0.0
97,97.0,104.0,123.29,41.95,0.0
98,98.0,104.0,126.37,81.31,0.0
99,99.0,104.0,118.52,84.81,0.0
100,100.0,116.0,140.62,107.17,0.0
101,101.0,104.0,117.66,64.89,0.0
102,102.0,104.0,119.89,35.34,0.0
103,103.0,104.0,128.0,91.2,0.0
104,104.0,104.0,127.52,64.4,0.0
105,105.0,104.0,124.66,39.4,0.0
106,106.0,104.0,128.42,84.2,0.0
107,107.0,104.0,195.27,90.47,0.0
108,108.0,104.0,138.4,125.08,0.0
109,109.0,104.0,122.17,59.09,0.0
110,110.0,104.0,136.63,104.85,0.0
111,111.0,104.0,116.53,35.93,0.0
112,112.0,103.0,122.93,90.56,0.0
113,113.0,104.0,129.79,75.03,0.0
114,114.0,104.0,122.11,89.21,0.0
115,115.0,104.0,122.9,52.95,0.0
116,116.0,104.0,128.1,97.8,0.0
117,117.0,104.0,113.82,36.36,0.0
118,118.0,104.0,121.27,71.56,0.0
119,119.0,104.0,126.62,89.11,0.0
120,120.0,104.0,132.43,82.99,0.0
121,121.0,104.0,127.93,90.62,0.0
122,122.0,104.0,120.59,100.98,0.0
123,123.0,104.0,121.2,46.28,0.0
124,124.0,104.0,123.77,48.44,0.0
125,125.0,104.0,127.76,97.96,0.0
126,126.0,104.0,112.14,49.91,0.0
127,127.0,104.0,122.99,69.61,0.0
128,128.0,104.0,122.33,110.56,0.0
129,129.0,104.0,116.95,32.04,0.0
130,130.0,124.0,140.85,63.98,0.0
131,131.0,104.0,122.25,96.71,0.0
132,132.0,104.0,122.83,70.48,0.0
133,133.0,104.0,130.74,104.2,0.0
134,134.0,104.0,119.68,73.78,0.0
135,135.0,104.0,129.99,97.11,0.0
136,136.0,104.0,139.8,143.96,0.0
137,137.0,104.0,127.91,74.77,0.0
138,138.0,104.0,144.58,138.63,0.0
139,139.0,104.0,127.92,94.46,0.0
140,140.0,124.0,161.6,126.7,0.0
141,141.0,104.0,123.89,26.83,0.0
142,142.0,104.0,120.08,44.19,0.0
143,143.0,104.0,117.92,56.98,0.0
144,144.0,104.0,122.86,53.95,0.0
145,145.0,104.0,120.89,65.61,0.0
146,146.0,104.0,118.31,53.07,0.0
147,147.0,104.0,121.21,82.02,0.0
148,148.0,104.0,129.11,127.34,0.0
149,149.0,104.0,118.4,71.66,0.0
150,150.0,104.0,119.77,65.98,0.0
151,151.0,104.0,117.1,18.94,0.0
152,152.0,104.0,129.13,109.25,0.0
153,153.0,104.0,126.77,77.09,0.0
154,154.0,104.0,122.7,113.05,0.0
155,155.0,104.0,119.74,53.43,0.0
156,156.0,104.0,119.96,47.64,0.0
157,157.0,104.0,122.62,31.78,0.0
158,158.0,112.0,136.47,87.84,0.0
159,159.0,104.0,120.2,31.55,0.0
160,160.0,104.0,124.75,73.32,0.0
161,161.0,104.0,122.81,67.23,0.0
162,162.0,104.0,122.69,66.86,0.0
163,163.0,104.0,121.02,97.58,0.0
164,164.0,104.0,123.73,80.73,0.0
165,165.0,104.0,128.26,67.11,0.0
166,166.0,104.0,128.27,71.0,0.0
167,167.0,104.0,116.99,16.7,0.0
168,168.0,104.0,127.14,60.85,0.0
169,169.0,104.0,119.48,77.96,0.0
170,170.0,104.0,120.57,45.02,0.0
