participant_id,bic,log_likelihood,embedding_0,embedding_1,embedding_2,embedding_3,embedding_4,embedding_5,embedding_6,embedding_7,embedding_8,sindy_param_count,params_x_learning_rate_reward,params_x_value_reward_not_chosen,params_x_value_choice_chosen,params_x_value_choice_not_chosen
0.0,1.4607582382287756,-0.677953804327193,1.9141295,1.4663647,0.8859928,-2.116161,0.6647616,-1.2200732,-0.05739263,-1.5877216,-0.72676265,10,4,2,1,3
1.0,1.5000276433087103,-0.6900991761832753,1.6147033,-0.35960832,-1.434814,-0.6951065,-0.5929362,-0.73531485,0.7311085,1.6073337,-0.18959449,11,2,2,3,4
2.0,1.382828625217091,-0.6914143126085455,-0.4624631,0.40466416,-0.7231731,1.0433469,0.7658403,1.6456392,1.244149,1.2614471,0.57551926,6,2,2,1,1
3.0,1.0990949362327038,-0.4446968385419622,1.3065515,-0.20346092,0.07125897,-0.22206272,0.88937384,-1.4140779,-0.84175724,-0.25227144,1.7020146,12,2,3,5,2
4.0,1.382828625217091,-0.6914143126085455,0.2839866,-0.38959673,0.27083227,-0.7396336,-1.5225924,0.9606677,-0.8448219,-0.5661957,-1.2391759,12,5,4,1,2
5.0,1.5137939035026977,-0.696982306280269,2.0900047,-1.2009035,-0.4669669,-0.882373,-0.6897787,0.11008652,0.49285322,-0.4595601,1.2170544,13,2,4,4,3
6.0,1.382828625217091,-0.6914143126085455,-0.7790467,-0.7010362,-1.3682699,0.0031854217,-0.029299822,0.6406623,-0.06324825,1.8096107,-1.1495638,9,2,2,3,2
7.0,1.2295712300496784,-0.5473816388698745,1.3488823,1.4115591,0.822618,2.1845546,0.48988965,0.38037992,-0.2310952,-1.0862391,1.2438118,7,2,2,2,1
8.0,1.4610634275626,-0.6781063989941052,-0.13740566,0.48885056,0.022606535,0.39137354,0.54006124,-0.6067742,-2.1714125,-0.7158455,-0.004655149,13,2,4,4,3
9.0,1.382828625217091,-0.6914143126085455,-0.30384177,-1.3057029,-0.5504257,0.5012487,0.48968458,1.1062291,0.017788265,0.70899487,-0.4466523,9,2,2,2,3
10.0,1.382828625217091,-0.6914143126085455,-1.0144962,0.56895226,-1.6873131,-0.7928072,1.2997264,0.44860688,-2.4745567,0.45306796,0.7496275,9,4,2,2,1
11.0,1.2433000738814532,-0.5317780687341069,-0.00180741,0.6716635,0.614913,1.0986747,-0.4184213,-0.21696267,0.7838137,0.3730377,0.15318464,10,2,3,4,1
12.0,1.382828625217091,-0.6914143126085455,0.23004027,1.238193,0.0009396472,-0.26871598,-1.4220506,-0.06775056,-0.5642069,0.442125,0.6912211,9,2,3,2,2
13.0,1.4576227715779009,-0.6913647323695256,0.060861737,-0.35755518,0.49358115,0.019871393,0.2078863,0.098539844,0.7888746,1.0600271,0.3055578,11,2,5,2,2
14.0,1.3912810407509244,-0.6207472135366124,0.72246015,0.4048942,1.9291761,1.0110823,-1.4061025,-1.1289743,-0.10470597,1.6042087,0.6535574,8,2,2,3,1
15.0,1.382828625217091,-0.6914143126085455,0.5410606,1.1065354,-0.008002743,-1.7708222,0.890469,-0.3404332,0.9981178,-0.6516975,0.6018641,8,2,2,3,1
