participant,h_0,h_1,cluster
1d7c0db,0.02561628,10.0,2
205d5a4,1.5477523,10.0,2
20b78f0a,0.005021584,10.0,2
21f983df,7.1658077,2.4565635,1
222b96a0,0.002697923,10.0,2
23659a75,0.00857071,10.0,2
24c1b08b,4.2717075,6.9827952,0
258fbc5e,10.0,0.44660917,1
265da921,10.0,0.4866375,1
2713a5f4,6.101948e-08,10.0,2
2c2dcf89,10.0,0.10642532,1
2d63c35c,3.8897328,4.040378,0
2eb1d623,4.541683,6.416283,0
2fffdaf6,3.854,3.4444659,0
34bd971,10.0,0.023991086,1
40c54a06,10.0,1.320286,1
418b46d3,10.0,0.027067892,1
425953ac,10.0,0.08177623,1
43175f79,10.0,0.02384372,1
44b37587,10.0,0.22838594,1
45fd7952,0.1416654,10.0,2
462f6c2d,1.2486732,8.265333,2
476160f8,0.00028299703,10.0,2
48293504,10.0,0.70838046,1
496739d1,10.0,0.9743505,1
4ab52cae,2.4878576,6.9419346,0
4bfb207b,10.0,0.43016818,1
4eff38f,4.0692253,3.0245752,0
4f8d1ffa,10.0,0.4557557,1
5a1ff5a,3.8938973,5.7845507,0
60eb0902,0.00095711654,10.0,2
61a505d7,10.0,0.42879546,1
627710a8,0.98661166,9.198061,2
63391c7d,3.9873922,3.6999583,0
649d3683,10.0,0.014590583,1
65d33a56,10.0,0.09978236,1
66012f29,10.0,0.32786655,1
673ea25,4.781324,6.608125,0
674f23fc,10.0,0.43675828,1
68077600,10.0,0.6882324,1
69497ad5,1.5325886,9.938123,2
6a9b6faa,0.5027341,10.0,2
6bd5637f,0.3394077,10.0,2
6d3f4554,10.0,0.37175667,1
73de6f0,0.48110795,10.0,2
8020c01e,7.215605,4.2722654,0
8456ff9f,0.25945947,10.0,2
8518f34a,10.0,0.43408227,1
86cae635,4.86679,3.8535514,0
8784eae0,4.52009,6.1573486,0
88ccbf1c,0.0047569196,10.0,2
8a50a6b6,0.008305348,10.0,2
8b1eaa63,0.099791,10.0,2
8cba809d,0.2455435,10.0,2
8df48c48,0.2940244,10.0,2
8e269937,10.0,0.07907526,1
8f6895e2,0.07406562,10.0,2
99cc0e,3.808622,4.313555,0
a2929ab0,0.07996531,10.0,2
a478bc9b,0.25871485,10.0,2
a536b04e,10.0,0.7402588,1
a6e4a531,10.0,0.56988573,1
a7aaa9e4,0.49852458,10.0,2
a8e2fc18,6.4212074,4.6750064,0
a9acf0cd,0.30372554,10.0,2
aa7ee5b2,0.056620866,10.0,2
ab30e967,0.4384653,10.0,2
ac94c399,0.7877559,10.0,2
addacf4c,10.0,0.43307766,1
ae08da33,0.15216336,10.0,2
af46d6e6,0.57691157,10.0,2
c038c8d,0.45716298,10.0,2
c07c4616,7.3769183,3.6968167,0
c1324ac3,10.0,0.51411474,1
c2e05fbc,0.045026645,10.0,2
c3ae5369,10.0,9.621901e-06,1
c5447542,2.1996465,6.290487,0
c8903914,10.0,0.002695414,1
c9de35c1,0.060040906,10.0,2
ca0c20be,0.25964758,10.0,2
cb422c6b,10.0,0.34355313,1
cce60695,0.00018059918,10.0,2
cda80a40,10.0,0.48211974,1
ce7a1f3f,10.0,1.1472896,1
cf3413ea,7.229604,2.4253473,1
d4d8058,3.6940465,4.927956,0
e0520512,10.0,0.4291472,1
e11c09c7,2.8467886,6.7042975,0
e2ce1cb8,10.0,0.45736012,1
e380106d,0.57048106,10.0,2
e7f62fec,10.0,0.43671733,1
e8be7a10,1.4310048,6.941968,2
e9f076c5,0.004819512,10.0,2
e9f9527,10.0,0.49974203,1
ea2263ba,10.0,0.22853157,1
eb6c6f6f,0.26267648,10.0,2
ecc84591,4.0221176,4.281974,0
ed864944,10.0,0.07130104,1
ee545c3b,0.079232514,10.0,2
ef1a50ee,10.0,1.8031921,1
fd199f2,10.0,0.27055645,1
