participant,phi_logit_0,phi_logit_1,chi_logit_0,chi_logit_1,beta_0,beta_1,kappa_0,kappa_1,C_0,C_1,C_2,C_3
1d7c0db,-0.19593927,-0.19593927,-0.14149626,-0.14149626,-0.30898836,-0.30898836,1.44744,1.44744,-1.1932318,-1.1932318,-1.1932318,-1.1932318
205d5a4,2.681863,2.681863,4.417867,4.417867,-1.8578471,-1.8578471,2.153313,2.153313,0.095332325,0.095332325,0.095332325,0.095332325
20b78f0a,-3.123511,-3.123511,-3.1876612,-3.1876612,5.2697453,5.2697453,1.6492501,1.6492501,0.0880849,0.0880849,0.0880849,0.0880849
21f983df,-2.550071,-2.550071,1.9528158,1.9528158,1.0220703,1.0220703,0.90975606,0.90975606,0.3393695,0.3393695,0.3393695,0.3393695
222b96a0,0.8761125,0.8761125,5.169501,5.169501,-3.6353624,-3.6353624,0.6402467,0.6402467,0.7345653,0.7345653,0.7345653,0.7345653
23659a75,2.6227808,2.6227808,3.1252356,3.1252356,-1.1022781,-1.1022781,2.7104752,2.7104752,-0.50521934,-0.50521934,-0.50521934,-0.50521934
24c1b08b,-3.4753628,-3.4753628,4.01864,4.01864,2.3668673,2.3668673,1.9782917,1.9782917,0.014904348,0.014904348,0.014904348,0.014904348
258fbc5e,-0.29308128,-0.29308128,-1.3059208,-1.3059208,1.9949946,1.9949946,0.53915936,0.53915936,-1.4783764,-1.4783764,-1.4783764,-1.4783764
265da921,-2.7153788,-2.7153788,1.3964636,1.3964636,2.3591785,2.3591785,1.0587854,1.0587854,0.78795254,0.78795254,0.78795254,0.78795254
2713a5f4,0.45804173,0.45804173,0.51954025,0.51954025,-0.5054113,-0.5054113,0.5487538,0.5487538,-0.1828697,-0.1828697,-0.1828697,-0.1828697
2c2dcf89,4.108317,4.108317,6.1355047,6.1355047,1.1817819,1.1817819,-0.62180364,-0.62180364,-0.17760584,-0.17760584,-0.17760584,-0.17760584
2d63c35c,-1.2673848,-1.2673848,4.56598,4.56598,-8.818379,-8.818379,0.9721641,0.9721641,3.2496347,3.2496347,3.2496347,3.2496347
2eb1d623,-3.2009997,-3.2009997,3.0859272,3.0859272,2.222936,2.222936,1.5417863,1.5417863,-0.17849267,-0.17849267,-0.17849267,-0.17849267
2fffdaf6,-4.3250303,-4.3250303,4.2411885,4.2411885,1.3651181,1.3651181,1.92919,1.92919,-0.22243229,-0.22243229,-0.22243229,-0.22243229
34bd971,-4.137653,-4.137653,2.0178204,2.0178204,2.2500985,2.2500985,1.2993455,1.2993455,-0.3076331,-0.3076331,-0.3076331,-0.3076331
40c54a06,-1.4813076,-1.4813076,-2.6792336,-2.6792336,3.1048884,3.1048884,1.0421356,1.0421356,-2.9481745,-2.9481745,-2.9481745,-2.9481745
418b46d3,3.0744402,3.0744402,3.75967,3.75967,1.4736,1.4736,1.2754676,1.2754676,-1.3948737,-1.3948737,-1.3948737,-1.3948737
425953ac,0.3919094,0.3919094,-0.45437342,-0.45437342,-0.3324961,-0.3324961,1.0450151,1.0450151,-0.05133926,-0.05133926,-0.05133926,-0.05133926
43175f79,-0.17699946,-0.17699946,-0.29053968,-0.29053968,1.2461226,1.2461226,-4.6189785,-4.6189785,-0.017160445,-0.017160445,-0.017160445,-0.017160445
44b37587,-2.8537574,-2.8537574,-2.9670618,-2.9670618,-2.3043213,-2.3043213,1.0030001,1.0030001,1.8887706,1.8887706,1.8887706,1.8887706
45fd7952,-3.7703805,-3.7703805,4.524167,4.524167,2.2712219,2.2712219,1.5956575,1.5956575,-0.536212,-0.536212,-0.536212,-0.536212
462f6c2d,-2.7968616,-2.7968616,-0.93715,-0.93715,0.22126128,0.22126128,1.4717565,1.4717565,-0.30083957,-0.30083957,-0.30083957,-0.30083957
476160f8,-4.2541385,-4.2541385,4.0171237,4.0171237,1.7022543,1.7022543,1.7130417,1.7130417,-0.11564768,-0.11564768,-0.11564768,-0.11564768
48293504,-3.689838,-3.689838,1.2690693,1.2690693,5.321053,5.321053,1.1198559,1.1198559,-0.1510582,-0.1510582,-0.1510582,-0.1510582
496739d1,-0.9013066,-0.9013066,0.9771736,0.9771736,2.3485355,2.3485355,0.6526449,0.6526449,-0.010915781,-0.010915781,-0.010915781,-0.010915781
4ab52cae,-4.2040744,-4.2040744,1.014426,1.014426,3.25369,3.25369,1.5788056,1.5788056,-0.31323466,-0.31323466,-0.31323466,-0.31323466
4bfb207b,-2.984914,-2.984914,5.2349825,5.2349825,2.3647084,2.3647084,0.93125886,0.93125886,0.2309274,0.2309274,0.2309274,0.2309274
4eff38f,2.6109445,2.6109445,-0.69204605,-0.69204605,2.2216876,2.2216876,1.0134207,1.0134207,-1.4334142,-1.4334142,-1.4334142,-1.4334142
4f8d1ffa,-3.4098778,-3.4098778,6.3688517,6.3688517,13.837626,13.837626,-0.03907476,-0.03907476,-1.8452603,-1.8452603,-1.8452603,-1.8452603
5a1ff5a,-0.8003925,-0.8003925,-1.1615367,-1.1615367,-0.098712444,-0.098712444,0.7285644,0.7285644,-0.10465889,-0.10465889,-0.10465889,-0.10465889
60eb0902,-0.14673881,-0.14673881,-0.07571779,-0.07571779,-0.5915708,-0.5915708,0.32996306,0.32996306,0.0034301626,0.0034301626,0.0034301626,0.0034301626
61a505d7,-4.2081785,-4.2081785,-0.2952015,-0.2952015,1.4821694,1.4821694,1.2057184,1.2057184,0.18990836,0.18990836,0.18990836,0.18990836
627710a8,0.1288902,0.1288902,6.382852,6.382852,0.0761063,0.0761063,-0.5750266,-0.5750266,0.42663208,0.42663208,0.42663208,0.42663208
