participant,x_learning_rate_reward_0,x_value_choice_chosen_0,x_value_choice_not_chosen_0,x_value_reward_not_chosen_0
1d7c0db,"[0.339628208637626, 0.21000095157790288, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.6757888510695625, 0.2843041320026949, 0.21366852604551423, 0.0, 0.0, -0.704084308394906]","[0.26433181080764256, 0.0, 0.20760687624040985, 0.0, 0.0, 0.0]","[0.9066936122113132, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
205d5a4,"[0.40117472514250035, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.7488651757472892, 0.27848347654333533, 0.0, 0.0, 0.0, -0.25607383935385475]","[0.2551224669020379, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.9109598540481008, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
20b78f0a,"[0.33957301449448707, 0.21029798544011105, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.9307175852296349, 0.2070796415926756, -0.7551500695236731, 0.0, 0.0, 0.0]","[0.2956394289643232, 0.0, 0.20889421997240207, 0.0, 0.0, 0.0]","[0.9084859198361781, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
21f983df,"[0.339732343953108, 0.2090933686241454, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.7903583481112219, 0.240047166726586, 0.0, 0.0, 0.0, -0.3656100621605563]","[0.3596329463262053, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.9053435741956506, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
222b96a0,"[0.33947750584792635, 0.20953984183778326, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.9201102161258202, 0.0, 0.250772142157809, 0.0, 0.0, -0.513090219068408]","[0.3508317720620574, 0.0, 0.24254155121187404, 0.0, 0.0, 0.0]","[0.9058074972138326, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
23659a75,"[0.40082627765258344, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.5860322802076112, 0.30182483345305944, 0.5081606860066752, 0.0, 0.0, -0.6021841728976012]","[0.2379698448220088, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.911613178462838, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
24c1b08b,"[0.40124126949215166, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.7470709525266533, 0.2690447267181326, 0.0, 0.0, 0.0, -0.18353836007861957]","[0.21315598237005298, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.9064449637978518, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
258fbc5e,"[0.3394934126919665, 0.210798268121694, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.838220565359033, 0.2615955298699178, -0.7392571514159315, 0.0, 0.0, 0.0]","[0.37824909749380525, 0.0, 0.2040047629402289, 0.0, 0.0, 0.0]","[0.9068304333255516, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
265da921,"[0.40116102387780267, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.7753414626151767, 0.2581798572914509, 0.0, 0.0, 0.0, -0.3647667408317492]","[0.3020945622318951, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.9099332865458633, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2713a5f4,"[0.33947306883094197, 0.20994256945643697, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.6504692890303875, 0.28270392301293046, 0.3490688301418452, 0.0, 0.0, -0.7827923289418817]","[0.32770368093076413, 0.0, 0.22654407650596556, 0.0, 0.0, 0.0]","[0.9082841106395618, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
